26,48 27,663 28,221 29,1584
30,144 31,360 38,22 39,914
41,2636 42,171 43,1110 44,382
45,166 47,14 50,27 51,333
52,209 53,1221 54,236 55,2319
56,160 57,836 58,86 59,59
60,21 63,65 64,107 65,760
66,322 67,1975 68,333 69,390
70,56 71,197 72,68 73,56
74,28 75,53 76,31 77,1905
78,523 79,2693 80,479 81,1566
82,259 83,508 84,124 85,103
86,103 87,207 88,43 89,56
90,81 91,2957 92,509 93,2231
94,865 95,1619 96,435 97,848
98,69 99,92 100,74 101,96
102,74 103,284 104,205 105,2287
106,684 107,1959 108,813 109,1933
110,769 111,359 112,61 114,43
115,437 116,183 117,721 118,314
119,1454 120,680 121,1690 122,1209
123,2109 124,9999 125,1084 126,72
127,74 128,280 129,393 130,208
131,1017 132,519 133,1355 134,1108
135,914 136,703 137,827 138,239
139,103 140,20 141,171 142,97
143,427 144,424 145,850 146,1114
147,3538 148,1196 149,826 150,352
151,408 152,157 153,44 154,56
155,160 156,64 157,351 158,236
159,653 160,313 161,521 162,354
163,318 164,774 165,1227 166,206
167,64 168,70 169,131 170,99
171,253 172,219 173,507 174,485
175,278 176,296 177,182 178,82
179,140 180,43 181,58 182,37
183,85 184,76 185,643 186,268
187,660 188,352 189,265 190,239
191,75 192,67 193,54 194,33
195,38 196,61 197,134 198,45
199,219 200,201 201,351 202,423
203,2411 204,772 205,109 206,111
207,49 209,38 210,53 211,340
212,110 213,686 214,198 215,191
216,219 217,201 218,168 219,41
220,18 221,31 223,39 224,43
225,42 226,163 227,324 228,1364
229,786 230,110 231,635 232,156
233,57 234,14 235,11 236,16
237,149 238,43 239,36 241,93
242,121 243,100 244,264 245,322
246,4979 247,970 248,93 251,20
252,117 253,110 255,360 256,88
257,30 259,81 260,263 261,75
265,11 266,22 267,23 268,38
269,85 270,586 271,178 272,48
273,669 274,130 285,15 286,91
287,84 288,7922 289,1618 290,267
291,30
